Animal,Sex,Distance..m.,Mean.speed..m.s.,Max.speed..m.s.,Time.immobile..s.,Immobile.episodes,Absolute.turn.angle....,Top...entries,Top...time..s.,Middle...entries,Bottom...entries,Bottom...time..s.,Small...mean.distance.from..m.,num_turns,num_R,num_L,LLLL,LLLR,LLRL,LLRR,LRLL,LRLR,LRRL,LRRR,RLLL,RLLR,RLRL,RLRR,RRLL,RRLR,RRRL,RRRR,alternations,repetitions,Group,boldness_index
1,F,10.748,0.03,0.1,0,0,85303,9,29.7,36,28,280.5,0.03,528,289,239,0.331579786,0.880360274,2.373585206,1.466780027,2.509086561,26.00628007,7.761194241,3.202898499,0.880360274,4.080291913,25.58612773,9.211608548,2.504118178,8.53489884,3.511540474,1.159289371,51.59241,3.490869,CTRL,0.109642365
2,F,10.666,0.03,0.081,0,0,95927,16,61.2,51,36,135.7,0.052,398,207,191,1.01981352,1.416638917,5.832466145,4.463869464,3.12794844,15.88421995,6.176809302,4.627768065,0.775613276,8.130688756,19.32244838,5.81987457,4.22712704,7.615301365,6.186452436,5.372960373,35.20667,6.392774,CAS,0.278554391
3,M,19.843,0.055,0.181,0,0,76325,30,43.3,64,34,214.3,0.042,322,168,154,1.006006006,3.857250107,5.135135135,6.386958387,5.946589447,15.33751609,6.46653797,5.123015873,3.262012012,4.77005577,14.23820249,12.53592879,2.329472329,5.56563707,4.456349206,3.583333333,29.57572,4.589339,CTRL,0.383904168
4,M,19.328,0.054,0.165,0,0,91025,51,153.3,79,28,40.1,0.072,640,288,352,6.457280199,1.968017425,5.138706597,3.619968997,5.657266123,20.75090012,7.446817869,1.731307037,3.280271005,6.118265198,20.0619056,4.32454688,4.623975477,4.955151935,2.570152785,1.295466753,40.81281,7.752747,CTRL,0.606204519
5,F,15.834,0.044,0.147,0,0,61699,25,123.7,47,23,124.2,0.061,316,146,170,6.908280199,8.450673733,5.180806046,10.68732597,7.595274365,4.23715905,7.668769229,6.491866114,7.911116671,7.375687189,5.930126647,4.416319923,5.931471439,5.954868151,3.77897387,1.481281405,10.16729,8.389562,CAS,0.451306318
6,M,17.829,0.05,0.111,0,0,105609,38,131.2,58,21,82.4,0.064,738,388,350,1.757941726,3.002888624,6.066898391,3.385108836,5.469750274,16.24747125,7.284776792,4.18682463,2.829894459,6.903990178,15.83002366,7.985774597,4.264134364,7.05456186,4.033919431,3.69604093,32.07749,5.453983,CTRL,0.514317098
7,M,8.707,0.024,0.103,0,0,70356,26,108.9,49,23,146.3,0.054,293,124,169,4.459065579,5.668330384,8.848966334,6.801312753,7.102525266,12.63887943,7.8609942,2.731153737,5.668330384,10.41057395,12.34349062,3.790835184,6.474583089,2.469805347,2.343556838,0.387596899,24.98237,4.846662,CTRL,0.255021451
8,M,13.039,0.036,0.115,0,0,75816,26,81.9,46,21,217.3,0.042,523,261,262,3.146513397,2.359541292,5.073142729,3.189090573,4.089820095,26.00360809,3.175354698,3.397223296,2.110891107,5.83430748,27.5314919,4.253052639,2.845853013,2.125311758,2.53476237,2.330035567,53.5351,5.476549,CTRL,0.248320395
9,M,16.862,0.047,0.096,0,0,70966,9,332.6,15,6,11.4,0.108,339,167,172,2.34025234,1.17012617,13.47113638,4.978009829,2.037431888,24.68293453,8.311343162,11.38826624,0.905575906,5.483662275,6.334779096,6.404060285,3.975330916,4.706777468,2.037431888,1.772881624,31.01771,4.113134,CTRL,0.836139716
10,M,18.895,0.052,0.179,0,0,58811,24,42.7,60,37,230.2,0.037,947,466,481,4,0.277777778,2.199918807,0.606459576,1.851772031,24.4562753,1.218453864,0,0.419020716,2.528600605,24.05571762,0.611994289,0.954606352,0.402736401,0.138888889,0.277777778,48.51199,4.277778,CTRL,0.326252842
11,F,20.027,0.056,0.125,0,0,99045,52,78.2,80,28,52.6,0.062,661,377,284,0.706467794,2.448771975,5.635634949,5.757651251,4.757595933,9.463751272,7.895822104,6.929519829,2.150213474,8.027581803,9.616061237,8.697923225,4.543830016,8.642176503,6.927616266,7.799382372,19.07981,8.50585,CAS,0.542612609
12,M,14.991,0.042,0.129,5.8,4,66106,35,70.5,80,45,168.1,0.048,516,274,242,0.273224044,2.478266269,5.012399522,4.299188923,5.709888038,16.25481056,8.952591783,4.255383981,1.798094991,6.762480563,16.31043944,8.36885975,4.985869567,7.658340872,3.565493271,3.314668423,32.56525,3.587892,CTRL,0.33373059
13,F,18.832,0.052,0.182,0,0,89891,22,34.1,63,42,256.6,0.034,477,236,241,4.103593733,4.973498664,6.743578776,2.777047492,7.330824543,12.9356784,6.433782992,4.441639334,5.189548046,4.176757234,13.44954891,7.424974161,2.572221453,7.962540891,4.922475088,4.562290287,26.38523,8.665884,CAS,0.301741158
14,M,13.583,0.038,0.11,0,0,67349,25,83.7,44,20,171.7,0.048,492,243,249,0.581681948,10.56196205,8.941313786,2.70284832,21.10359805,12.48545234,6.029162483,1.762154137,3.078968848,4.200866883,12.63098975,4.550833891,2.70284832,5.66466886,2.242346214,0.760304122,25.11644,2.341986,CTRL,0.305673279
15,M,15.675,0.044,0.11,0,0,105513,24,307.5,24,1,2.4,0.099,407,227,180,4.007484089,3.654611641,4.55297079,4.162089352,4.98974888,9.777976472,8.437429259,5.731726113,3.654611641,5.393781834,10.67107177,9.730261418,3.473295133,8.287122983,5.736132952,7.739685676,20.44905,11.74717,CAS,0.742717449
16,F,19.159,0.053,0.15,0,0,87743,39,139.5,72,32,83.4,0.068,488,243,245,4.240844581,4.042500154,4.44147582,4.44391898,4.098244658,14.01036218,7.82624821,4.149155203,4.742483559,3.801227979,17.80136004,7.548552245,3.403800214,7.973832176,4.826080228,2.649913773,31.81172,6.890758,CAS,0.571828472
17,F,15.796,0.044,0.136,0,0,85671,31,146.4,59,29,80.1,0.068,782,437,345,1.107324093,2.210453024,2.921861512,2.40535573,3.472185193,19.85876751,8.050630479,4.604615604,2.210453024,3.018762818,19.80687015,9.967812281,1.537732404,11.57198119,4.601757563,2.653437429,39.66564,3.760762,CTRL,0.504813741
18,F,24.846,0.069,0.166,0,0,73032,23,44.4,44,21,218.3,0.036,496,214,282,11.8667885,5.572212851,8.88433912,7.963766604,5.116933607,6.497652561,4.066458375,2.803103819,4.867361376,9.730709583,3.174726258,10.07896344,7.47463617,6.159881313,3.484511134,2.257955294,9.672379,10.12474,CAS,0.437086734
19,M,20.015,0.056,0.127,0,0,80908,36,41.9,72,37,143.2,0.048,544,280,264,2.99445463,4.171895784,6.456812736,3.392814601,6.184394449,16.02824921,5.318110288,4.858542191,4.295267493,5.972320197,14.94986821,6.790842641,4.283996454,6.337178466,4.667448491,3.297804152,30.97812,7.292259,CAS,0.433844182
20,M,19.708,0.055,0.15,0,0,71704,26,52.9,51,26,216.6,0.039,797,334,463,6.01892534,3.255171243,9.76816714,3.75273756,9.395987936,10.01079105,4.191328844,3.869898898,7.411002206,6.104083512,9.112148327,4.361384849,4.253121892,4.265754555,4.176638732,2.052857908,19.12294,8.071783248,CAS,0.357957734
21,M,25.085,0.07,0.158,0,0,98355,108,167.5,158,50,52,0.072,636,316,320,3.554580638,4.981441609,6.848670009,4.888843289,6.442712247,15.43574304,4.45665885,4.382165015,4.983816443,6.867365511,14.93243729,4.796995398,4.760539168,4.99049385,4.597911115,3.079626529,30.36818,6.634207,CAS,0.720924652
22,F,14.849,0.041,0.099,0,0,57421,9,27.5,33,25,234.8,0.035,491,254,237,1.069264069,2.82996633,4.346257607,3.129953782,3.928111341,23.5641456,6.674059435,2.713287115,2.440559843,4.949275362,23.80192714,5.656743418,2.700697451,6.485831399,2.891257293,2.818662819,47.36607,3.887927,CAS,0.230123738
23,F,16.031,0.045,0.126,0,0,66716,37,94.4,63,27,143.2,0.053,361,193,168,1.3266344,3.802348364,4.904952301,5.814119386,5.67349034,12.05141139,9.377971679,4.337782202,3.802348364,6.586160753,11.41220685,8.919964159,6.122761362,7.711700972,4.289556894,3.866590585,23.46362,5.193225,CAS,0.393215206
24,M,17.253,0.048,0.151,0,0,71025,45,229.9,67,22,36.9,0.086,731,392,339,4.348689467,4.192926227,3.991905891,3.651638329,3.328274811,15.17121627,5.073317246,5.348816975,3.633754471,3.760702221,14.41770103,9.986338659,3.834700399,8.344035485,6.099169902,4.816812619,29.58892,9.165502,CAS,0.673385155
25,F,12.257,0.034,0.109,0,0,73283,21,217.2,33,12,94,0.079,385,200,185,4.384787923,4.608991367,6.232970847,5.677865392,5.401370015,8.015940827,6.712005312,7.094261546,5.318211225,8.01106473,8.889195423,6.131148376,6.571678492,6.429527986,6.739651616,3.781328921,16.90514,8.166117,CTRL,0.51956487
26,F,22.234,0.062,0.191,0,0,75222,49,103.3,68,20,106.8,0.058,780,406,374,2.259931095,2.494855253,5.493616275,2.465711324,4.406581422,18.25793486,6.384929168,4.750152223,2.528045613,6.122662705,18.62813502,6.788319691,4.139960229,6.293528024,4.576541112,4.409095989,36.88607,6.669027,CTRL,0.555583277
27,F,13.613,0.038,0.102,5.5,4,76926,44,160.5,72,29,80.2,0.067,416,198,218,2.125432813,2.767991776,6.977788345,2.939182796,6.433751551,14.87245807,5.557992501,2.089569437,2.959562657,6.900223147,14.91609951,4.52346173,3.147180488,3.953644237,1.851474199,1.317520083,29.78856,3.442953,CTRL,0.463560858
28,M,18.629,0.052,0.122,0,0,75032,48,98.3,102,55,148.1,0.055,324,160,164,3.389154705,3.917131317,6.065804053,2.635831777,5.954395854,18.65344718,7.080685657,3.407900637,4.355727808,4.539406474,18.40497884,7.425404089,3.769976758,6.41653144,3.162802598,0.820820821,37.05843,4.209976,CTRL,0.460489917
30,F,18.193,0.051,0.119,0,0,84634,35,139.6,53,19,39.8,0.089,590,276,314,7.204866445,5.630360343,6.429302142,3.817892345,4.536114311,12.27994325,6.82328469,4.922587046,5.57364738,2.877250811,11.2010742,6.76901455,6.962536269,4.830490485,5.794776199,4.346859532,23.48102,9.55173,CAS,0.498701878
31,M,13.719,0.038,0.152,0,0,95688,10,18.4,34,24,282.1,0.028,619,296,323,5.036403125,5.119062782,4.930433444,2.614614197,4.281072766,15.81294376,2.948984045,2.932969835,4.35566755,2.852718842,18.64913973,2.241698657,2.101409155,4.311670849,3.443766213,1.70077839,34.46208,6.737182,CAS,0.153341499
32,M,14.965,0.042,0.154,0,0,68298,26,139,50,25,160,0.06,508,253,255,6.130145582,5.849168734,7.319137289,6.695273742,8.687869795,5.831177875,5.573691826,7.175257402,6.550380443,9.179985316,4.640028474,5.265658221,6.601700921,5.633573733,5.79325882,3.073691826,10.47121,9.203837,CAS,0.426237603
34,F,12.463,0.035,0.151,1.4,1,54721,22,36.8,49,28,207.7,0.036,584,258,326,4.923339661,4.622143051,5.355568657,4.009830639,7.901689509,19.0016097,6.540961746,1.258805678,5.411660247,5.281030553,21.21236264,4.221200167,3.544551965,4.506958346,1.258805678,0.949481771,40.21397,5.872821,CAS,0.190329845
36,F,24.865,0.069,0.152,0,0,67010,14,32.9,28,15,304.7,0.022,608,273,335,4.196609955,3.075811598,5.585723316,3.045798417,6.620818697,27.04461254,3.862080022,1.514295143,2.510839846,5.409655777,27.44787664,2.608354526,1.85994058,2.716576577,1.514295143,0.986711228,54.49249,5.183321,CAS,0.328936046
37,F,18.067,0.05,0.142,4,2,89401,53,130.3,98,45,154.9,0.057,329,194,135,0.98571767,1.325853725,1.184130369,2.83747551,1.244016125,9.847869496,3.738206172,4.430934895,0.98571767,2.695752154,10.97220812,5.813524968,2.934966137,5.791573125,4.481278415,7.397442117,20.82008,8.38316,CTRL,0.464795089
38,F,15.821,0.05,0.14,0,0,68909,10,30.2,30,28,300.2,0.024,605,280,325,3.802789488,4.013935838,6.961054532,4.995201663,5.596172681,19.32124376,5.518174449,3.064188517,3.889610746,8.122440715,19.93749126,4.021943912,4.660218051,2.297558553,2.439159604,1.358816233,39.258735,5.1616055,CTRL,0.1610618
39,M,18.883,0.052,0.119,0,0,86570,37,205.2,70,34,95,0.076,617,295,322,5.87207155,6.003907718,7.651008665,6.992481011,7.805250516,8.589599689,5.28510046,5.572801506,6.80482305,8.878224656,7.980098103,4.095940457,6.243897369,3.893003035,4.334756303,3.997035912,16.5697,8.869107,CTRL,0.628345345
40,M,8.517,0.024,0.088,0,0,92126,10,99.7,45,35,223.2,0.038,662,350,312,1.893939394,3.373522545,3.747089037,4.258776943,5.951716946,15.09681859,8.408608771,5.139063291,3.327716742,5.268165946,15.8427889,8.629109695,2.792975267,7.422265337,5.2181041,3.629338498,30.93961,5.523278,CTRL,0.450541819
41,F,15.5,0.043,0.123,27.1,4,64640,19,214.3,30,11,104.9,0.077,693,325,368,3.962364036,5.093452114,9.186162497,3.816330119,8.728331437,13.41418615,3.466223026,5.167789613,4.907017861,7.634285933,12.66522835,4.935885831,4.351141945,4.352846698,5.049586303,3.26916809,26.07941,7.231532,CAS,0.568684166
42,F,21.76,0.06,0.13,0,0,80292,27,68.6,56,30,212.3,0.041,889,414,475,3.41291031,2.166772615,7.127024678,2.152804474,5.785416633,28.15163265,4.040069638,0.924085576,2.098426183,7.122491923,27.71363662,3.173443131,2.557524553,2.297018428,0.803312629,0.473429952,55.86527,3.88634,CTRL,0.414352266
43,M,25.072,0.07,0.154,1.5,1,107673,85,70.4,163,80,175.7,0.046,553,214,339,10.16444811,7.751607977,11.68188589,2.660379575,11.20772142,12.40331769,4.139342094,1.416221402,8.886003602,5.331109422,11.74369531,2.906275315,3.926441555,2.377174785,1.983114826,1.421261019,24.14701,11.58571,CAS,0.519111181
44,F,15.372,0.043,0.118,0,0,72627,30,68.8,60,31,140.6,0.052,629,333,296,0.871897385,3.027562574,6.927132327,3.992700221,6.495560234,15.86034315,4.649603428,5.166933479,2.85593786,7.37765009,16.59332037,5.276910986,3.721812937,6.921065185,6.578070016,3.683499757,32.45366,4.555397,CAS,0.372331175
45,M,15.809,0.044,0.188,0,0,90021,55,139.9,84,29,49.8,0.067,603,299,304,3.281844092,2.852991448,6.130559516,3.268935399,4.771301215,19.80171258,4.992004298,1.993282356,2.424138805,6.290140164,20.61181484,4.400198251,2.678865042,6.202166118,1.993282356,1.30676352,39.41353,4.588608,CTRL,0.4973207
46,F,15.688,0.044,0.145,0,0,85879,39,81.1,67,28,92.5,0.058,656,380,276,1.171652422,1.943515422,4.398440294,3.84549944,3.578276879,16.59323005,4.62031311,6.041381825,1.687105165,6.159385232,15.89617091,6.328303757,4.044319056,6.058595037,6.053476648,11.58033475,32.4894,12.75199,CAS,0.425140686
33,F,12.589,0.033,0.143,0,0,72833,22,65,48.25,27,199,0.044,585,285,300,5.083365066,4.515707794,6.086809754,4.583634266,7.736792667,17.29246671,5.325577865,3.316119408,4.824293512,6.623557215,17.76675592,4.031737638,4.002064489,4.285702885,2.855453214,1.669961608,35.05922333,6.753326333,CAS,0.2525011
