Trial,num_turns,num_R,num_L,LLLL,LLLR,LLRL,LLRR,LRLL,LRLR,LRRL,LRRR,RLLL,RLLR,RLRL,RLRR,RRLL,RRLR,RRRL,RRRR,alternations,repetitions,Animal_Number,Group,anxiety_group
1,86,49,37,0,0,0,1.85,0,18.52,7.41,7.41,0,5.56,22.22,9.26,5.56,9.26,9.26,3.7,40.74,3.7,1,CTRL,High Anxiety
2,75,36,39,0,1.67,5,3.33,5,25,8.33,1.67,1.67,8.33,21.67,6.67,6.67,3.33,1.67,0,46.67,0,1,CTRL,High Anxiety
3,130,72,58,0.81,2.44,4.07,2.44,4.88,20.33,8.13,2.44,2.44,4.07,21.14,8.94,1.63,10.57,2.44,3.25,41.46,4.07,1,CTRL,High Anxiety
4,53,29,24,0,0,4,0,4,30,4,4,0,4,30,8,0,8,4,0,60,0,1,CTRL,High Anxiety
5,88,49,39,0,0,0,0,0,35.14,8.11,1.35,0,1.35,33.78,9.46,0,9.46,1.35,0,68.92,0,1,CTRL,High Anxiety
6,96,54,42,1.18,1.18,1.18,1.18,1.18,27.06,10.59,2.35,1.18,1.18,24.71,12.94,1.18,10.59,2.35,0,51.76,1.18,1,CTRL,High Anxiety
1,82,41,41,2.27,2.27,2.27,9.09,2.27,13.64,6.82,4.55,2.27,9.09,22.73,2.27,4.55,6.82,4.55,4.55,36.36,6.82,2,CTRL,High Anxiety
2,50,29,21,0,0,0,7.69,3.85,11.54,15.38,0,0,7.69,23.08,7.69,3.85,11.54,3.85,3.85,34.62,3.85,2,CTRL,High Anxiety
3,42,20,22,0,0,10,10,0,10,0,10,0,10,10,0,10,0,10,20,20,20,2,CTRL,High Anxiety
4,70,37,33,3.85,3.85,7.69,0,0,23.08,3.85,3.85,0,3.85,23.08,7.69,3.85,7.69,3.85,3.85,46.15,7.69,2,CTRL,High Anxiety
5,82,40,42,0,2.38,11.9,0,9.52,21.43,4.76,0,2.38,11.9,21.43,4.76,0,7.14,2.38,0,42.86,0,2,CTRL,High Anxiety
6,72,40,32,0,0,3.12,0,3.12,15.62,6.25,9.38,0,6.25,15.62,12.5,3.12,12.5,12.5,0,31.25,0,2,CTRL,High Anxiety
1,71,40,31,3.33,1.67,3.33,5,3.33,11.67,8.33,6.67,1.67,6.67,11.67,11.67,5,8.33,6.67,5,23.33,8.33,3,CTRL,High Anxiety
2,45,21,24,2.7,5.41,10.81,2.7,8.11,10.81,13.51,0,5.41,10.81,5.41,10.81,5.41,8.11,0,0,16.22,2.7,3,CTRL,High Anxiety
3,46,24,22,0,4.17,8.33,0,8.33,12.5,0,12.5,4.17,0,4.17,12.5,0,8.33,12.5,12.5,16.67,12.5,3,CTRL,High Anxiety
4,57,34,23,0,0,0,8,4,8,16,8,0,4,8,20,0,16,4,4,16,4,3,CTRL,High Anxiety
5,51,25,26,0,3.57,0,14.29,3.57,10.71,14.29,3.57,0,7.14,17.86,3.57,3.57,14.29,3.57,0,28.57,0,3,CTRL,High Anxiety
6,52,24,28,0,8.33,8.33,8.33,8.33,8.33,16.67,0,8.33,0,8.33,16.67,0,8.33,0,0,16.67,0,3,CTRL,High Anxiety
1,108,54,54,1.37,1.37,8.22,2.74,6.85,16.44,8.22,2.74,1.37,8.22,17.81,8.22,2.74,8.22,2.74,2.74,34.25,4.11,4,CTRL,Low Anxiety
2,55,26,29,0,0,2.86,0,2.86,40,5.71,0,0,5.71,37.14,2.86,2.86,0,0,0,77.14,0,4,CTRL,Low Anxiety
3,112,53,59,1.27,1.27,6.33,1.27,2.53,29.11,8.86,0,0,7.59,26.58,6.33,5.06,3.8,0,0,55.7,1.27,4,CTRL,Low Anxiety
4,133,63,70,8.77,1.75,3.51,7.02,3.51,14.04,8.77,3.51,1.75,5.26,12.28,5.26,10.53,7.02,5.26,1.75,26.32,10.53,4,CTRL,Low Anxiety
5,128,56,72,9.84,4.92,4.92,8.2,8.2,4.92,13.11,1.64,6.56,4.92,6.56,3.28,6.56,8.2,4.92,3.28,11.48,13.11,4,CTRL,Low Anxiety
6,104,36,68,17.5,2.5,5,2.5,10,20,0,2.5,10,5,20,0,0,2.5,2.5,0,40,17.5,4,CTRL,Low Anxiety
1,88,36,52,10.87,6.52,8.7,6.52,13.04,8.7,2.17,4.35,8.7,8.7,13.04,2.17,2.17,2.17,2.17,0,21.74,10.87,5,CTRL,High Anxiety
2,39,21,18,6.45,6.45,6.45,6.45,6.45,6.45,3.23,9.68,6.45,6.45,6.45,3.23,3.23,9.68,9.68,3.23,12.9,9.68,5,CTRL,High Anxiety
3,20,10,10,0,9.09,0,27.27,9.09,0,9.09,9.09,9.09,18.18,0,0,9.09,0,0,0,0,0,5,CTRL,High Anxiety
4,50,25,25,7.89,5.26,10.53,5.26,7.89,7.89,10.53,2.63,5.26,7.89,5.26,7.89,7.89,5.26,0,2.63,13.16,10.53,5,CTRL,High Anxiety
5,50,22,28,9.09,9.09,3.03,9.09,9.09,0,9.09,6.06,6.06,3.03,6.06,6.06,6.06,9.09,6.06,3.03,6.06,12.12,5,CTRL,High Anxiety
6,69,32,37,7.14,14.29,2.38,9.52,0,2.38,11.9,7.14,11.9,0,4.76,7.14,7.14,9.52,4.76,0,7.14,7.14,5,CTRL,High Anxiety
1,108,59,49,0,2.17,5.43,3.26,4.35,20.65,4.35,4.35,2.17,6.52,19.57,6.52,4.35,4.35,4.35,7.61,40.22,7.61,6,CTRL,Low Anxiety
2,82,40,42,1.37,1.37,8.22,1.37,6.85,24.66,8.22,0,1.37,8.22,23.29,6.85,2.74,5.48,0,0,47.95,1.37,6,CTRL,Low Anxiety
3,140,65,75,5.22,6.09,6.96,3.48,8.7,13.91,6.09,3.48,6.96,6.09,14.78,3.48,4.35,5.22,3.48,1.74,28.7,6.96,6,CTRL,Low Anxiety
4,129,61,68,3.96,3.96,5.94,5.94,4.95,14.85,9.9,1.98,2.97,8.91,14.85,5.94,6.93,4.95,1.98,1.98,29.7,5.94,6,CTRL,Low Anxiety
5,137,82,55,0,0.92,4.59,2.75,1.83,13.76,5.5,9.17,0,6.42,12.84,12.84,4.59,9.17,8.26,7.34,26.61,7.34,6,CTRL,Low Anxiety
